file	line	code	details
src/test/java/net/openhft/chronicle/core/ARMMemoryAddIntAndMessagesTest.java	53	MMMissingStringSearchValue	String search contains() on method() with "mis-aligned" but message is constant. Why: when assertion fails, you won't see the actual string. Fix: include the string value in message, e.g. method() + " should contain " + "mis-aligned". Ref: assertion-messages.adoc#MMMissingStringSearchValue
src/test/java/net/openhft/chronicle/core/ARMMemoryMisalignmentEdgeTest.java	17	MMTooShort	Message "already allocated" too short. Why: words/placeholders=2 min=4. Fix: add subject + expected behaviour. Ref: assertion-messages.adoc#MMTooShort
src/test/java/net/openhft/chronicle/core/ARMMemoryMisalignmentEdgeTest.java	61	MMMissingStringSearchValue	String search contains() on method() with "mis-aligned" but message is constant. Why: when assertion fails, you won't see the actual string. Fix: include the string value in message, e.g. method() + " should contain " + "mis-aligned". Ref: assertion-messages.adoc#MMMissingStringSearchValue
src/test/java/net/openhft/chronicle/core/ARMMemoryObjectOffsetMisalignmentTest.java	29	MMMissingStringSearchValue	String search contains() on method() with "Cannot change" but message is constant. Why: when assertion fails, you won't see the actual string. Fix: include the string value in message, e.g. method() + " should contain " + "Cannot change". Ref: assertion-messages.adoc#MMMissingStringSearchValue
src/test/java/net/openhft/chronicle/core/ARMMemoryObjectOffsetMisalignmentTest.java	33	MMMissingStringSearchValue	String search contains() on method() with "mis-aligned" but message is constant. Why: when assertion fails, you won't see the actual string. Fix: include the string value in message, e.g. method() + " should contain " + "mis-aligned". Ref: assertion-messages.adoc#MMMissingStringSearchValue
src/test/java/net/openhft/chronicle/core/ChronicleInitTest.java	96	MMMissingStringSearchValue	String search contains() on stdout with "disabling resource tracking" but message is constant. Why: when assertion fails, you won't see the actual string. Fix: include the string value in message, e.g. stdout + " should contain " + "disabling resource tracking". Ref: assertion-messages.adoc#MMMissingStringSearchValue
src/test/java/net/openhft/chronicle/core/ClassLocalTest.java	23	MMContextless	Contextless message "operation result should equal expected value". Fix: state what is compared and why it matters. Ref: assertion-messages.adoc#MMContextless
src/test/java/net/openhft/chronicle/core/JvmFlagsTest.java	32	MMMissingComparisonValues	Comparison ">=" uses operands method() and 8 but message is constant. Why: when assertion fails, you won't see the actual values. Fix: include operand values in message, e.g. method() + " >= " + 8 + " because...". Ref: assertion-messages.adoc#MMMissingComparisonValues
src/test/java/net/openhft/chronicle/core/JvmParseSizeTest.java	61	MMRedundantMethodName	Message "parseSizeRejectsUnknownSuffix" depends on method name "parseSizeRejectsUnknownSuffix". Why: nothing remains after removing the name. Fix: add 2+ meaningful words that survive without the name. Ref: assertion-messages.adoc#MMRedundantMethodName
src/test/java/net/openhft/chronicle/core/JvmSafepointTest.java	52	MMContextless	Contextless message "counter meets minimum". Fix: state what is compared and why it matters. Ref: assertion-messages.adoc#MMContextless
src/test/java/net/openhft/chronicle/core/JvmSafepointTest.java	86	MMTooShort	Message "average exceeds limit" too short. Why: words/placeholders=3 min=4. Fix: add subject + expected behaviour. Ref: assertion-messages.adoc#MMTooShort
src/test/java/net/openhft/chronicle/core/MockerFacadeTest.java	25	MMMissingStringSearchValue	String search contains() on method() with "sample-run" but message is constant. Why: when assertion fails, you won't see the actual string. Fix: include the string value in message, e.g. method() + " should contain " + "sample-run". Ref: assertion-messages.adoc#MMMissingStringSearchValue
src/test/java/net/openhft/chronicle/core/MockerFacadeTest.java	26	MMMissingStringSearchValue	String search contains() on method() with "value" but message is constant. Why: when assertion fails, you won't see the actual string. Fix: include the string value in message, e.g. method() + " should contain " + "value". Ref: assertion-messages.adoc#MMMissingStringSearchValue
src/test/java/net/openhft/chronicle/core/MockerFacadeTest.java	42	MMMissingStringSearchValue	String search contains() on logged with "ps-run" but message is constant. Why: when assertion fails, you won't see the actual string. Fix: include the string value in message, e.g. logged + " should contain " + "ps-run". Ref: assertion-messages.adoc#MMMissingStringSearchValue
src/test/java/net/openhft/chronicle/core/MockerFacadeTest.java	43	MMMissingStringSearchValue	String search contains() on logged with "data" but message is constant. Why: when assertion fails, you won't see the actual string. Fix: include the string value in message, e.g. logged + " should contain " + "data". Ref: assertion-messages.adoc#MMMissingStringSearchValue
